date,pnl,total_profit,n,equity_bt,year
2024-07-26,-115685.10578562431,9144987.906373778,100,69144987.90637378,2024
2024-07-29,-68108.52277714321,9076879.383596634,99,69076879.38359663,2024
2024-07-30,56084.03739582801,9132963.420992462,101,69132963.42099246,2024
2024-07-31,-21045.484462719272,9111917.936529743,101,69111917.93652974,2024
2024-08-01,99457.2187991743,9211375.155328916,101,69211375.15532891,2024
2024-08-02,-200930.86349567212,9010444.291833244,101,69010444.29183325,2024
2024-08-05,-417527.1702666588,8592917.121566586,96,68592917.1215666,2024
2024-08-06,116974.95981984239,8709892.081386428,95,68709892.08138643,2024
2024-08-07,184537.56484655556,8894429.646232983,95,68894429.64623298,2024
2024-08-08,-24741.26540163969,8869688.380831344,95,68869688.38083135,2024
2024-08-09,132583.3987516405,9002271.779582985,96,69002271.77958298,2024
2024-08-12,87435.25304406612,9089707.032627052,96,69089707.03262705,2024
2024-08-13,15514.246877275793,9105221.279504327,98,69105221.27950433,2024
2024-08-14,96446.8867746015,9201668.166278929,101,69201668.16627893,2024
2024-08-15,-8408.32647947336,9193259.839799454,106,69193259.83979945,2024
2024-08-16,125757.04647673552,9319016.88627619,107,69319016.88627619,2024
2024-08-19,38914.056845371604,9357930.94312156,109,69357930.94312155,2024
2024-08-20,27096.636314203257,9385027.579435764,110,69385027.57943577,2024
2024-08-21,-58463.322536523905,9326564.25689924,110,69326564.25689924,2024
2024-08-22,1641.5977399103494,9328205.85463915,110,69328205.85463914,2024
2024-08-23,44467.19551198943,9372673.05015114,110,69372673.05015114,2024
2024-08-26,12275.858590019774,9384948.90874116,109,69384948.90874116,2024
2024-08-27,-8133.204630429997,9376815.704110729,109,69376815.70411073,2024
2024-08-28,4410.643746666674,9381226.347857395,109,69381226.3478574,2024
2024-08-29,-22380.502978478395,9358845.844878918,109,69358845.84487891,2024
2024-08-30,48564.769195625195,9407410.614074543,109,69407410.61407454,2024
2024-09-02,-44353.63052721051,9363056.983547332,109,69363056.98354733,2024
2024-09-03,-31059.229144891426,9331997.75440244,108,69331997.75440244,2024
2024-09-04,-254166.75203312372,9077831.002369316,105,69077831.00236931,2024
2024-09-05,27400.804422359535,9105231.806791676,105,69105231.80679168,2024
2024-09-06,57978.24403754093,9163210.050829217,105,69163210.05082922,2024
2024-09-09,-45945.89092222325,9117264.159906993,104,69117264.159907,2024
2024-09-10,-79790.52685739633,9037473.633049596,104,69037473.63304959,2024
2024-09-11,13483.817768204535,9050957.450817801,104,69050957.4508178,2024
2024-09-12,159254.54790935325,9210211.998727154,104,69210211.99872716,2024
2024-09-13,18930.106641036826,9229142.105368191,106,69229142.1053682,2024
2024-09-16,-8141.49335913375,9221000.612009058,107,69221000.61200906,2024
2024-09-18,-71645.26246768152,9149355.349541375,107,69149355.34954138,2024
2024-09-19,93121.58500769197,9242476.934549067,109,69242476.93454906,2024
2024-09-20,663.8691513201456,9243140.803700387,109,69243140.80370039,2024
2024-09-23,2507.0190001102596,9245647.822700499,109,69245647.8227005,2024
2024-09-24,2735.739403063109,9248383.562103562,108,69248383.56210357,2024
2024-09-25,80954.78427003618,9329338.346373599,108,69329338.3463736,2024
2024-09-26,66912.70923839947,9396251.055611998,108,69396251.055612,2024
2024-09-27,-45592.36478702318,9350658.690824974,108,69350658.69082497,2024
2024-09-30,-93772.97938333722,9256885.711441638,108,69256885.71144164,2024
2024-10-01,42625.90392614515,9299511.615367783,108,69299511.61536779,2024
2024-10-04,-63900.41020007246,9235611.20516771,109,69235611.20516771,2024
